RCDTS,School Name,District,City,County,District Type,School Type,Grades Served,% Student Enrollment -Male,% Student Enrollment - Female,% Student Enrollment - Non-binary,% Student Enrollment - White,% Student Enrollment - Black or African American,% Student Enrollment - Hispanic or Latino,% Student Enrollment - Asian,% Student Enrollment - Native Hawaiian or Other Pacific Islander,% Student Enrollment - American Indian or Alaska Native,% Student Enrollment - Two or More Races,% Student Enrollment - Middle Eastern or North African,% Student Enrollment - Children with Disabilities,% Student Enrollment - IEP,% Student Enrollment - EL,% Student Enrollment - Former EL,% Student Enrollment - Never EL,% Student Enrollment - Low Income,% Student Enrollment - Homeless,% Student Enrollment - Youth in Care,% Student Enrollment - Migrant,% Student Enrollment - Military,% Teachers - White,% Teachers - Black or African American,% Teachers - Hispanic or Latino,% Teachers - Asian,% Teachers - Native Hawaiian or Other Pacific Islander,% Teachers - American Indian or Alaska Native,% Teachers - Two or More Races,% Teachers - MENA,% Out-of-Field Teachers,% Out-of-Field Teachers - High Poverty Schools,% Out-of-Field Teachers - Low Poverty Schools,% 9th Grade on Track - White,% 9th Grade on Track - Black or African American,% 9th Grade on Track - Hispanic or Latino,% 9th Grade on Track - Asian,% 9th Grade on Track - Native Hawaiian or Other Pacific Islander,% 9th Grade on Track - American Indian or Alaska Native,% 9th Grade on Track - Two or More Races,% 9th Grade on Track - MENA,% 9th Grade on Track - Children with Disabilities,% 9th Grade on Track - IEP,% 9th Grade on Track - EL,% 4-year Institution Remediation - ELA,% CRDC School Related Arrests,% Students Assessed for Giftedness  - White,% Students Assessed for Giftedness  - Black or African American,% Students Assessed for Giftedness  - Hispanic or Latino,% Students Assessed for Giftedness  - Asian,% Students Assessed for Giftedness  - Native Hawaiian or Other Pacific Islander,% Students Assessed for Giftedness  - American Indian or Alaska Native,% Students Assessed for Giftedness  - Two or More Race,% Students Assessed for Giftedness  - MENA,% Students Assessed for Giftedness  - IEP,% Students Assessed for Giftedness  - EL,% Students Identified as Gifted  - White,% Students Identified as Gifted  - Black or African American,% Students Identified as Gifted  - Hispanic or Latino,% Students Identified as Gifted  - Asian,% Students Identified as Gifted  - Native Hawaiian or Other Pacific Islander,% Students Identified as Gifted  - American Indian or Alaska Native,% Students Identified as Gifted  - Two or More Race,% Students Identified as Gifted  - MENA,% Students Identified as Gifted  - IEP,% Students Identified as Gifted  - EL,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - White,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - Black or African American,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - Hispanic or Latino,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - Asian,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - Native Hawaiian or Other Pacific Islander,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - American Indian or Alaska Native,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - Two or More Race,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - MENA,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - IEP,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - EL,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - White,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - Black or African American,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - Hispanic or Latino,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - Asian,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - Native Hawaiian or Other Pacific Islander,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - American Indian or Alaska Native,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - Two or More Race,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - MENA,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - IEP,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - EL
48-072-3250-26-0005,Peoria Heights High School,Peoria Heights CUSD 325,Peoria Heights,Peoria,Unit District,High School,9 - 12,54.8,,,54.3,24.0,7.7,,,,12.0,,24.5,16.3,,,98.1,65.9,,,,,95.4,4.6,,,,,,,32.4,,,92.0,76.2,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48-072-1500-25-0023,Manual High School,Peoria SD 150,Peoria,Peoria,Unit District,High School,9 - 12,50.7,49.3,,8.3,64.5,21.1,,,,5.6,,20.8,16.8,14.6,4.2,81.2,90.0,3.0,2.1,,,75.1,18.2,1.0,1.1,,,4.6,,4.0,,,,78.6,82.9,,,,,,81.0,85.7,78.1,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48-072-1500-25-0024,Peoria High School,Peoria SD 150,Peoria,Peoria,Unit District,High School,9 - 12,51.3,48.7,,8.4,64.6,16.1,,,,9.7,,21.4,16.9,11.0,2.5,86.6,85.9,2.8,1.3,,,80.7,8.7,4.0,5.2,,,1.3,,17.3,,,83.3,82.7,89.1,,,,75.0,,84.5,86.8,87.9,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48-072-1500-25-0025,Richwoods High School,Peoria SD 150,Peoria,Peoria,Unit District,High School,9 - 12,50.8,49.2,,33.9,34.5,15.0,2.8,,,13.1,,17.3,10.2,6.9,5.6,87.4,52.5,1.6,0.8,,,81.9,8.8,1.3,6.8,,,,,11.8,,,95.6,91.7,94.1,,,,88.4,,88.9,86.0,92.6,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56-099-207U-26-0001,Peotone High School,Peotone CUSD 207U,Peotone,Will,Unit District,High School,9 - 12,50.2,49.8,,80.7,,14.1,,,,3.4,,20.0,12.4,4.9,5.6,89.5,27.3,,,,,91.5,,5.7,,,,,,3.4,,,91.9,,100.0,,,,,,90.5,87.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-075-0100-26-0009,Pittsfield High School,Pikeland CUSD 10,Pittsfield,Pike,Unit District,High School,9 - 12,48.2,51.8,,94.5,,3.8,,,,,,15.9,12.1,,,97.5,51.5,,,,,73.8,,,,,,,,10.3,,,88.1,,,,,,,,76.2,75.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-073-1010-16-0001,Pinckneyville Comm High School,Pinckneyville CHSD 101,Pinckneyville,Perry,High School District,High School,PK - 12,52.9,47.1,,91.8,,3.2,,,,3.5,,14.5,14.0,,,,43.4,,,,,100.0,,,,,,,,0.7,,,100.0,,,,,,,,100.0,100.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56-099-2020-22-0004,Plainfield East High School,Plainfield SD 202,Plainfield,Will,Unit District,High School,9 - 12,51.7,,,34.7,19.2,25.9,12.9,,0.8,6.1,,21.0,12.7,12.4,19.0,68.6,38.9,,,,0.6,83.5,0.5,9.8,4.4,,0.9,0.9,,1.7,,,96.2,93.7,94.4,98.3,,,97.4,,95.2,92.3,90.7,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56-099-2020-22-0001,Plainfield High School,Plainfield SD 202,Plainfield,Will,Unit District,High School,9 - 12,50.3,,,48.3,12.2,30.9,3.3,,,4.7,,26.8,16.3,10.1,12.6,77.2,34.5,1.2,,,,91.2,,5.3,2.6,,,0.9,,1.4,,,91.4,80.9,87.8,100.0,,,93.3,,84.0,87.1,79.2,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56-099-2020-22-0003,Plainfield North High School,Plainfield SD 202,Plainfield,Will,Unit District,High School,9 - 12,52.0,,,57.4,8.4,16.1,12.7,,,4.1,1.1,19.6,10.1,6.2,13.0,80.7,20.4,0.4,,,,87.8,0.7,4.5,5.5,,,1.5,,1.9,,,96.4,89.8,89.7,98.8,,,96.0,,88.2,85.7,85.4,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56-099-2020-22-0002,Plainfield South High School,Plainfield SD 202,Plainfield,Will,Unit District,High School,9 - 12,,50.2,,41.4,19.0,32.0,2.8,,,4.3,,21.6,14.1,9.3,12.8,77.8,32.9,0.5,,,1.3,89.7,2.0,6.5,1.8,,,,,2.1,,,93.8,83.2,87.8,92.9,,,90.0,,82.6,85.7,82.7,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-047-0880-26-0001,Plano High School,Plano CUSD 88,Plano,Kendall,Unit District,High School,9 - 12,50.9,49.1,,31.5,9.5,52.8,,,,,,19.3,15.3,16.0,19.3,64.7,48.7,2.9,,,,89.0,3.7,7.3,,,,,,2.2,,,92.3,72.2,86.5,,,,,,79.4,89.7,80.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-075-0030-26-0002,Pleasant Hill High School,Pleasant Hill CUSD 3,Pleasant Hill,Pike,Unit District,High School,9 - 12,54.7,45.3,,95.8,,,,,,,,12.6,12.6,,,100.0,57.9,,,,,100.0,,,,,,,,16.5,,,83.3,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51-084-0080-26-0001,Pleasant Plains High School,Pleasant Plains CUSD 8,Pleasant Plains,Sangamon,Unit District,High School,9 - 12,45.2,54.8,,92.9,,,,,,2.7,,22.0,7.3,,,100.0,9.3,,,,2.4,100.0,,,,,,,,12.4,,,92.6,,,,,,,,85.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47-071-2220-26-0004,Polo Comm High School,Polo CUSD 222,Polo,Ogle,Unit District,High School,9 - 12,47.3,52.7,,87.4,,9.3,,,,,,13.7,8.8,,,,37.4,,,,,100.0,,,,,,,,10.2,,,93.1,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-053-0900-17-0001,Pontiac High School,Pontiac Twp HSD 90,Pontiac,Livingston,High School District,High School,9 - 12,50.2,,,77.1,2.8,13.5,,,,6.0,,20.8,17.1,1.9,,98.1,45.1,6.6,,,,96.4,,3.6,,,,,,1.7,,,87.5,,90.9,,,,,,80.0,80.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-076-0010-26-0001,Pope Co High School,Pope Co CUD 1,Golconda,Pope,Unit District,High School,9 - 12,59.3,40.7,,95.0,,,,,,,,20.7,20.7,,,100.0,57.9,,,,,92.0,,,,,,,,6.2,,,74.1,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51-065-2020-26-0001,Porta High School,Porta CUSD 202,Petersburg,Menard,Unit District,High School,7 - 12,51.6,48.4,,93.4,,,,,,3.4,,27.3,21.1,,,,46.2,,,,,100.0,,,,,,,,8.2,,,86.6,,,,,,,,68.2,66.7,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-053-0080-26-0001,Prairie Central High School,Prairie Central CUSD 8,Fairbury,Livingston,Unit District,High School,9 - 12,51.9,48.1,,83.5,,11.4,,,,3.0,,22.4,16.2,,,93.5,39.0,,,,,95.2,,2.4,,,,,,21.1,,,96.9,,78.6,,,,,,96.3,95.2,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-006-5000-15-0001,Princeton High School,Princeton HSD 500,Princeton,Bureau,High School District,High School,9 - 12,48.4,51.6,,89.8,2.3,5.3,,,,,,21.5,15.8,,,98.9,39.2,,,,,100.0,,,,,,,,2.8,,,86.2,,,,,,,,79.2,82.4,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48-072-3260-26-0005,Princeville High School,Princeville CUSD 326,Princeville,Peoria,Unit District,High School,6 - 12,52.8,47.2,,87.7,,9.1,,,,,,8.5,8.5,,,94.7,36.4,,,,,96.6,,3.4,,,,,,13.9,,,100.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47-098-0030-26-0001,Prophetstown High School,Prophetstown-Lyndon-Tampico CUSD3,Prophetstown,Whiteside,Unit District,High School,9 - 12,55.8,44.2,,88.8,,,,,,5.6,,17.8,16.8,,,100.0,57.4,,,,,91.3,,,,,,,,23.9,,,91.7,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-016-2090-17-0001,Proviso East High School,Proviso Twp HSD 209,Maywood,Cook,High School District,High School,9 - 12,53.6,,,2.5,36.8,59.4,,,,1.0,,12.9,12.9,32.8,15.1,52.1,52.9,1.2,0.6,,0.9,59.4,20.9,14.9,3.7,0.9,,,,4.9,,,,59.2,69.6,,,,,,61.8,61.8,69.1,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-016-2090-17-0003,Proviso Math and Science Academy,Proviso Twp HSD 209,Forest Park,Cook,High School District,High School,9 - 12,,54.9,,8.8,20.4,66.7,2.8,,,,,2.9,2.9,11.2,37.7,51.1,53.5,,,,,82.5,3.9,9.7,1.9,,,,,9.3,,,96.0,95.7,95.7,,,,,,,,96.2,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-016-2090-17-0002,Proviso West High School,Proviso Twp HSD 209,Hillside,Cook,High School District,High School,9 - 12,51.6,,,2.6,38.4,57.2,,,,1.1,,15.3,15.3,31.8,16.7,51.5,52.5,1.5,,,0.9,59.3,26.6,7.2,5.9,,0.9,,,11.4,,,,56.6,66.7,,,,,,69.5,69.5,59.3,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35-078-5350-26-0002,Putnam County High School,Putnam County CUSD 535,Granville,Putnam,Unit District,High School,9 - 12,57.0,43.0,,83.8,,13.6,,,,,,19.6,16.2,,,92.3,40.9,,,,,83.2,,,,,,,,5.7,,,98.2,,,,,,,,100.0,100.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-001-1720-22-0003,Quincy Sr High School,Quincy SD 172,Quincy,Adams,Unit District,High School,9 - 12,49.8,50.2,,76.4,7.1,4.9,1.4,,,9.8,,19.8,14.6,,,98.6,55.6,0.8,0.9,,0.6,95.1,2.0,2.0,,,,1.0,,17.3,,,80.4,58.1,53.8,,,,69.6,,65.4,63.6,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33-048-2080-26-0001,R O W V A Jr and  Sr High School,R O W V A CUSD 208,Oneida,Knox,Unit District,High School,7 - 12,47.7,52.3,,88.8,,6.2,,,,,,13.3,10.8,,,,36.9,,,,,96.9,,,,,,,,14.3,,,91.4,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-026-2040-26-0002,Ramsey High School,Ramsey CUSD 204,Ramsey,Fayette,Unit District,High School,6 - 12,49.4,50.6,,94.1,,,,,,,,22.4,15.9,,,,65.3,10.6,,,,100.0,,,,,,,,1.5,,,88.9,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-010-1930-17-0001,Rantoul Twp High School,Rantoul Township HSD 193,Rantoul,Champaign,High School District,High School,9 - 12,51.9,48.1,,34.0,22.7,31.6,,,,11.1,,22.7,15.9,21.5,3.9,74.7,90.2,2.5,,1.7,,95.3,1.5,1.5,1.5,,,0.2,,6.9,,,78.4,71.7,86.2,,,,75.9,,71.2,71.9,72.3,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-016-2200-17-0001,Reavis High School,Reavis Twp HSD 220,Burbank,Cook,High School District,High School,9 - 12,51.6,48.4,,23.8,2.0,68.4,2.6,,,2.5,,16.0,11.8,29.9,30.7,39.4,65.8,1.1,,,,80.8,,5.3,0.9,,,,,5.7,,,92.2,,91.6,100.0,,,87.5,,76.1,73.1,90.3,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45-079-1320-26-0001,Red Bud High School,Red Bud CUSD 132,Red Bud,Randolph,Unit District,High School,9 - 12,48.6,51.4,,94.3,,3.0,,,,,,19.7,13.9,,,,30.9,5.7,,,,93.1,,,,,,,,3.2,,,94.7,,,,,,,,82.4,85.7,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-051-0100-26-0001,Red Hill Jr/Sr High School,Red Hill CUSD 10,Bridgeport,Lawrence,Unit District,High School,7 - 12,50.5,49.5,,96.7,,,,,,,,13.1,8.5,,,,58.2,7.4,,,,100.0,,,,,,,,8.4,,,94.4,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56-099-255U-26-0001,Reed-Custer High School,Reed Custer CUSD 255U,Braidwood,Will,Unit District,High School,9 - 12,52.4,47.6,,83.4,,13.1,,,,,,19.0,10.7,,,94.1,41.2,,,,,97.1,,,2.9,,,,,7.3,,,92.4,,100.0,,,,,,93.8,100.0,,,0.0,94.6,,100.0,,,,,,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-016-2270-17-0002,Rich Township High School,Rich Twp HSD 227,Olympia Fields,Cook,High School District,High School,9 - 12,49.5,50.5,,1.4,85.0,10.8,,,,2.4,,23.0,18.1,7.4,1.8,90.8,42.7,1.6,1.3,,,59.7,30.7,5.6,1.0,1.0,0.5,1.5,,1.5,,,,90.9,91.7,,,,,,88.6,89.9,88.5,,0.0,,3.5,,,,,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-080-0010-26-0001,Richland County High School,Richland County CUSD 1,Olney,Richland,Unit District,High School,9 - 12,55.9,44.1,,91.4,,3.2,,,,3.5,,16.8,10.9,,,98.8,40.0,,,,1.5,95.4,,2.3,2.3,,,,,16.8,,,88.3,,,,,,,,86.1,86.2,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44-063-1570-16-0001,Richmond-Burton High School,Richmond-Burton CHSD 157,Richmond,McHenry,High School District,High School,9 - 12,51.8,48.2,,84.5,,11.5,,,,2.7,,22.9,11.5,2.7,1.9,95.3,10.5,,,,,97.7,,2.3,,,,,,3.2,,,93.4,,94.1,,,,,,88.9,87.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-064-0190-26-0001,Ridgeview High School,Ridgeview CUSD 19,Colfax,McLean,Unit District,High School,9 - 12,53.1,46.9,,87.7,,,,,,8.0,,12.3,6.2,,,,38.9,,,,,100.0,,,,,,,,9.7,,,82.1,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-016-2340-16-0001,Ridgewood Comm High School,Ridgewood CHSD 234,Norridge,Cook,High School District,High School,9 - 12,,52.6,,61.5,,27.9,8.1,,,1.5,,16.6,11.2,25.4,26.1,48.5,24.4,2.0,,,,93.3,1.7,5.0,,,,,,4.2,,,98.7,,90.6,100.0,,,,,93.3,95.2,97.0,,0.9,11.0,,4.0,,,,,,,,11.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
47-098-0020-26-0001,Fulton High School,River Bend CUSD 2,Fulton,Whiteside,Unit District,High School,9 - 12,52.7,47.3,,91.3,,4.0,,,,4.0,,9.7,9.7,,,,37.5,,,,,100.0,,,,,,,,5.1,,,94.4,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-043-2100-26-0002,River Ridge High School,River Ridge CUSD 210,Hanover,Jo Daviess,Unit District,High School,9 - 12,44.8,55.2,,89.6,,,,,,,,17.6,15.2,,,100.0,36.0,,,,,94.1,,,,,,5.9,,2.9,,,100.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49-081-1000-26-0001,Riverdale Sr High School,Riverdale CUSD 100,Port Byron,Rock Island,Unit District,High School,9 - 12,57.7,,,89.7,,5.6,,,,3.4,,11.3,11.3,,,,16.0,,,,,71.1,,3.6,,,,,,4.5,,,96.4,,,,,,,,100.0,100.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-016-2080-17-0001,Riverside Brookfield Twp HS,Riverside-Brookfield Twp SD 208,Riverside,Cook,High School District,High School,9 - 12,50.7,49.3,,45.2,4.6,43.7,1.8,,,4.2,,22.1,12.5,6.3,11.6,82.1,12.5,1.2,,,,86.1,0.9,11.2,1.8,,,,,1.9,,,96.8,84.6,98.8,100.0,,,93.8,,95.9,92.9,92.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51-084-0140-26-0001,Riverton High School,Riverton CUSD 14,Riverton,Sangamon,Unit District,High School,9 - 12,49.7,50.3,,86.6,2.9,,,,,6.7,,26.2,23.8,,,98.8,50.0,,,,,95.9,,,,,,4.1,,29.3,,,85.5,,,,,,,,89.3,88.5,,,3.2,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53-102-0600-26-0001,Roanoke-Benson High School,Roanoke Benson CUSD 60,Roanoke,Woodford,Unit District,High School,9 - 12,50.0,50.0,,93.0,,,,,,,,23.2,14.8,,,100.0,17.6,,,,,100.0,,,,,,,,9.0,,,100.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-017-0020-26-0001,Robinson High School,Robinson CUSD 2,Robinson,Crawford,Unit District,High School,9 - 12,50.7,49.3,,92.2,,2.8,,,,3.7,,11.9,11.7,,,100.0,44.0,8.5,,,,88.2,,,,,,3.0,,1.2,,,82.5,,,,,,,,73.7,77.8,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47-071-2120-17-0001,Rochelle Twp High School,Rochelle Twp HSD 212,Rochelle,Ogle,High School District,High School,9 - 12,53.1,46.9,,52.2,1.8,42.0,,,,3.5,,12.8,12.8,17.7,13.6,68.7,23.9,2.1,,,,89.2,,5.4,3.6,,1.8,,,15.9,,,96.4,,95.1,,,,,,92.0,92.0,94.7,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51-084-003A-26-0001,Rochester High School,Rochester CUSD 3A,Rochester,Sangamon,Unit District,High School,9 - 12,50.5,49.5,,90.6,2.3,2.1,2.1,,,2.6,,24.8,13.1,,,97.9,13.2,,,,4.3,93.8,,2.5,2.5,,,1.3,,7.5,,,99.3,,,,,,,,94.3,87.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47-098-3010-17-0001,Rock Falls Township High School,Rock Falls Twp HSD 301,Rock Falls,Whiteside,High School District,High School,9 - 12,54.5,45.5,,73.6,,18.5,,,,6.0,,19.1,17.7,3.8,4.2,92.0,59.0,3.4,,,,94.9,,5.1,,,,,,11.5,,,93.8,,76.5,,,,,,100.0,100.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49-081-0410-25-0001,Rock Island High School,Rock Island SD 41,Rock Island,Rock Island,Unit District,High School,9 - 12,,50.6,,35.2,32.1,17.1,7.7,,,7.6,,19.5,16.2,16.4,7.1,76.5,76.0,0.7,0.8,,,82.6,10.6,3.9,1.9,,,1.0,,27.5,,,82.5,69.1,79.5,83.3,,,74.3,,75.5,75.0,85.3,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-101-2050-25-0001,Auburn High School,Rockford SD 205,Rockford,Winnebago,Unit District,High School,9 - 12,46.9,53.1,,27.3,40.8,19.8,4.3,,,7.4,,19.1,15.0,7.0,9.2,83.8,65.1,2.5,1.1,,0.9,90.1,4.7,2.8,0.6,,,1.9,,9.5,,,88.7,56.5,81.0,100.0,,,70.6,,74.7,72.2,78.4,,0.5,12.9,5.0,7.9,15.6,,,9.6,,3.8,,11.2,3.4,5.1,15.6,,,7.6,,,,9.3,2.7,3.8,14.3,,,,,,,8.7,1.9,2.8,14.3,,,,,,
04-101-2050-25-0003,Guilford High School,Rockford SD 205,Rockford,Winnebago,Unit District,High School,9 - 12,51.9,48.1,,36.4,27.9,24.1,3.5,,,7.8,,17.3,13.2,14.5,9.3,76.3,57.6,3.5,0.6,,0.8,93.4,2.3,1.7,,,,2.6,,11.3,,,81.8,64.1,70.4,88.2,,,70.0,,57.7,55.1,75.8,,0.8,1.7,2.0,,,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-101-2050-25-0004,Jefferson High School,Rockford SD 205,Rockford,Winnebago,Unit District,High School,9 - 12,53.2,46.8,,17.0,18.8,56.5,2.6,,0.5,4.5,,15.7,13.5,43.7,12.3,44.0,69.4,2.6,0.6,,0.9,90.2,2.5,5.4,,,,1.8,,17.6,,,89.2,80.8,83.8,100.0,,,66.7,,72.5,71.4,84.9,,0.8,,2.6,1.5,,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-101-2050-25-0002,Rockford East High School,Rockford SD 205,Rockford,Winnebago,Unit District,High School,9 - 12,52.7,47.3,,26.3,30.1,29.8,5.4,,0.8,7.3,,16.4,14.6,26.5,13.1,60.3,71.4,2.3,0.9,,0.7,81.3,2.9,4.7,6.6,1.0,,3.5,,11.4,,,86.3,84.6,92.2,96.2,,,83.3,,93.0,92.3,93.9,,0.6,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49-081-3000-26-0001,Rockridge High School,Rockridge CUSD 300,Taylor Ridge,Rock Island,Unit District,High School,9 - 12,50.2,49.8,,94.7,,,,,,,,10.3,10.3,,,,21.2,,,,,100.0,,,,,,,,4.4,,,97.2,,,,,,,,100.0,100.0,,,0.0,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34-049-1160-26-0006,Round Lake Senior High School,Round Lake CUSD 116,Round Lake,Lake,Unit District,High School,9 - 12,50.5,49.5,,8.9,7.0,80.7,1.0,,,2.0,,14.8,12.4,34.3,29.8,35.9,85.2,1.2,,,,82.9,0.7,12.5,2.0,,,2.0,,7.5,,,79.1,59.1,73.5,,,,,,67.0,67.5,68.2,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41-057-0010-26-0001,Roxana Sr High School,Roxana CUSD 1,Roxana,Madison,Unit District,High School,9 - 12,52.8,,,85.0,3.7,5.3,,,,4.9,,14.6,6.7,,,99.0,44.1,2.2,,,,100.0,,,,,,,,2.2,,,92.9,,,,,,,,86.7,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-058-6000-16-0001,Salem Community High School,Salem CHSD 600,Salem,Marion,High School District,High School,9 - 12,50.6,49.4,,94.5,,1.5,,,,2.9,,15.7,12.8,,,98.4,44.6,7.6,,,,97.7,,,2.3,,,,,5.5,,,88.6,,,,,,,,74.1,72.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54-092-5120-26-0001,Salt Fork High School,Salt Fork Community Unit District  512,Catlin,Vermilion,Unit District,High School,9 - 12,,52.0,,91.1,,,,,,,,15.4,10.6,,,98.8,53.7,,,,,100.0,,,,,,,,8.7,,,96.8,,,,,,,,85.7,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
