school_name,school_id,year,x_enrollment,n_black,n_white,n_hispanic,n_low_income,county_enrollment,county_n_black,county_n_white,county_n_hispanic,county_n_low_income,pct_black_school,pct_white_school,pct_hispanic_school,pct_low_income_school,pct_black_county,pct_white_county,pct_hispanic_county,pct_low_income_county,seg_black,seg_white,seg_hispanic,seg_low_income,rr_black,rr_white,rr_hispanic,rr_low_income
New Trier Township H S Northfield,05-016-2030-17-0002,2016,966.0,7,801,36,32,202153.0,53396,60264,72076,118333,0.007246376811594203,0.8291925465838509,0.037267080745341616,0.033126293995859216,0.264136569825825,0.2981108368414023,0.35654182722987043,0.5853635612630038,0.2568901930142308,0.5310817097424485,0.3192747464845288,0.5522372672671446,0.027434205026485182,2.7814907883573143,0.10452372736990183,0.056590973863122944
New Trier Township H S Northfield,05-016-2030-17-0002,2017,1037.0,7,836,44,29,214388.0,58760,58066,79985,127304,0.006750241080038573,0.8061716489874639,0.04243008678881389,0.027965284474445518,0.27408250461779576,0.27084538313711587,0.37308524730861803,0.5938018918969346,0.2673322635377572,0.5353262658503479,0.33065516051980415,0.565836607422489,0.024628500419797646,2.9765013516192678,0.11372759200450373,0.04709531050012117
New Trier Township H S Northfield,05-016-2030-17-0002,2018,991.0,,779,52,37,214766.0,57263,56658,82313,126859,,0.786074672048436,0.05247225025227043,0.03733602421796166,0.2666297272380172,0.26381270778428617,0.38326830131398826,0.5906847452576293,,0.5222619642641497,0.33079605106171783,0.5533487210396676,,2.9796694732809907,0.13690735725437186,0.06320803866650969
New Trier Township H S Northfield,05-016-2030-17-0002,2019,1015.0,6,801,52,26,213394.0,55511,55637,82711,121341,0.005911330049261084,0.7891625615763547,0.05123152709359606,0.02561576354679803,0.26013383694012016,0.26072429402888553,0.38759758943550426,0.5686242349831767,0.25422250689085907,0.5284382675474691,0.3363660623419082,0.5430084714363786,0.022724187359838947,3.026808700415634,0.13217710452794476,0.045048666537323895
New Trier Township H S Northfield,05-016-2030-17-0002,2020,1006.0,3,782,77,23,213127.0,54361,56586,83401,121674,0.002982107355864811,0.7773359840954275,0.07654075546719682,0.02286282306163022,0.2550638820984671,0.26550366682776,0.39132066795854115,0.5708990414166202,0.2520817747426023,0.5118323172676675,0.3147799124913443,0.54803621835499,0.01169160969138536,2.9277787135034488,0.1955959951374355,0.040047051059848966
New Trier Township H S Northfi,05-016-2030-17-0002,2021,973.0,,741,74,20,214047.0,54702,55045,84985,119674,,0.7615621788283659,0.07605344295991778,0.020554984583761562,0.25556069461379977,0.2571631464117694,0.39703896807710454,0.5591015057440656,,0.5043990324165964,0.32098552511718675,0.538546521160304,,2.961397033185125,0.1915515832822442,0.03676431626920142
New Trier Township H S Northfield,05-016-2030-17-0002,2022,886.0,,660,81,25,214727.0,54973,53880,86275,119290,,0.744920993227991,0.09142212189616253,0.028216704288939052,0.2560134496360495,0.2509232653555445,0.40178924867389754,0.5555426192327932,,0.4939977278724465,0.31036712677773504,0.5273259149438542,,2.9687203064748853,0.22753750180698107,0.05079125041370623
New Trier Township H S Northfield,05-016-2030-17-0002,2023,915.0,,688,75,30,211933.0,53373,52636,86325,118949,,0.7519125683060109,0.08196721311475409,0.03278688524590164,0.2518390245973963,0.24836151047736785,0.4073221253886842,0.5612575672500272,,0.5035510578286431,0.3253549122739301,0.5284706820041255,,3.0274923310813477,0.20123437448073186,0.0584168252849513
New Trier Township H S Northfield,05-016-2030-17-0002,2024,941.0,,705,65,10,210612.0,52648,51800,86482,117471,,0.7492029755579172,0.06907545164718384,0.010626992561105207,0.24997625966231743,0.24594989839135473,0.4106223766926861,0.5577602415816763,,0.5032530771665624,0.3415469250455022,0.547133249020571,,3.0461609476487266,0.16822135267820684,0.019052976115632708
New Trier Township H S Northfield,05-016-2030-17-0002,2025,880.0,,640,76,28,208640.0,50846,49298,86055,116033,,0.7272727272727273,0.08636363636363636,0.031818181818181815,0.24370207055214724,0.23628259202453988,0.4124568634969325,0.5561397622699387,,0.4909901352481874,0.32609322713329614,0.5243215804517568,,3.0779784538557715,0.2093882876173272,0.057212564137318296
Maine East High School           ,05-016-2070-17-0001,2016,1930.0,89,872,409,896,202153.0,53396,60264,72076,118333,0.0461139896373057,0.45181347150259066,0.21191709844559586,0.46424870466321244,0.264136569825825,0.2981108368414023,0.35654182722987043,0.5853635612630038,0.2180225801885193,0.15370263466118833,0.14462472878427457,0.12111485659979138,0.17458388918926998,1.515588887306903,0.5943681281157742,0.7930946430309582
Maine East High School           ,05-016-2070-17-0001,2017,1854.0,87,679,421,855,214388.0,58760,58066,79985,127304,0.04692556634304207,0.366235167206041,0.22707659115426107,0.46116504854368934,0.27408250461779576,0.27084538313711587,0.37308524730861803,0.5938018918969346,0.2271569382747537,0.09538978406892512,0.14600865615435696,0.13263684335324522,0.1712096378004102,1.3521927638716067,0.6086453238029595,0.776631153987184
Maine East High School,05-016-2070-17-0001,2018,1830.0,82,675,382,800,214766.0,57263,56658,82313,126859,0.04480874316939891,0.36885245901639346,0.2087431693989071,0.4371584699453552,0.2666297272380172,0.26381270778428617,0.38326830131398826,0.5906847452576293,0.22182098406861828,0.10503975123210729,0.17452513191508115,0.15352627531227409,0.16805606649178573,1.398160316515139,0.5446397958903901,0.7400876244987281
Maine East High School,05-016-2070-17-0001,2019,1852.0,93,709,378,770,213394.0,55511,55637,82711,121341,0.050215982721382287,0.382829373650108,0.2041036717062635,0.41576673866090713,0.26013383694012016,0.26072429402888553,0.38759758943550426,0.5686242349831767,0.20991785421873788,0.12210507962122247,0.18349391772924076,0.15285749632226958,0.19303902680273552,1.4683302723132294,0.5265865352865567,0.7311801240290224
Maine East High School,05-016-2070-17-0001,2020,1826.0,77,752,369,688,213127.0,54361,56586,83401,121674,0.04216867469879518,0.411829134720701,0.20208105147864183,0.37677984665936476,0.2550638820984671,0.26550366682776,0.39132066795854115,0.5708990414166202,0.2128952073996719,0.14632546789294099,0.18923961647989931,0.19411919475725542,0.16532593463199943,1.5511240942215183,0.5164078159553063,0.6599763168710688
Maine East High School,05-016-2070-17-0001,2021,1834.0,83,734,391,504,214047.0,54702,55045,84985,119674,0.04525627044711014,0.40021810250817885,0.21319520174482007,0.2748091603053435,0.25556069461379977,0.2571631464117694,0.39703896807710454,0.5591015057440656,0.21030442416668962,0.14305495609640945,0.18384376633228447,0.28429234543872206,0.17708619283376448,1.5562809371889936,0.536962915195311,0.491519263464728
Maine East High School,05-016-2070-17-0001,2022,1834.0,90,655,460,710,214727.0,54973,53880,86275,119290,0.04907306434023991,0.35714285714285715,0.25081788440567065,0.3871319520174482,0.2560134496360495,0.2509232653555445,0.40178924867389754,0.5555426192327932,0.20694038529580958,0.10621959178731266,0.15097136426822688,0.16841066721534503,0.1916815870806886,1.4233150387103617,0.6242523542715323,0.6968537401362277
