school,year,D_black_white,D_lowincome_notlowincome,D_white_hispanic
Glenbrook South High School      ,2017,0.7865127144466507,0.6084814665314048,0.6303904112872264
Goode STEM Academy HS,2018,0.7864616524779631,0.5877897656269258,0.6230274556540557
Goode STEM Academy HS,2019,0.7839074603594075,0.5542569409271805,0.6247704774800023
Goode STEM Academy HS,2020,0.7873785595622814,0.5458890801078016,0.6231312056700935
Goode STEM Academy HS,2021,0.7967067793961019,0.5492514836824691,0.6148661607598671
Goode STEM Academy HS,2022,0.7965876587239,0.5284115178179017,0.6101835313650843
Goode STEM Academy HS,2023,0.7939227726308796,0.5118302351061063,0.6030007625551171
Goode STEM Academy HS,2024,0.7885703578630185,0.5226036612987716,0.5984771053748413
Goode STEM Academy HS,2025,0.7828371078077657,0.5053128806800504,0.5947474157648664
Goode STEM Academy HS            ,2016,0.7582594210265702,0.575559100801645,0.6026948148460517
Goode STEM Academy HS            ,2017,0.7865127144466507,0.6084814665314048,0.6303904112872264
H L Richards High Sch(Campus),2018,0.7864616524779631,0.5877897656269258,0.6230274556540557
H L Richards High Sch(Campus),2019,0.7839074603594075,0.5542569409271805,0.6247704774800023
H L Richards High Sch(Campus),2020,0.7873785595622814,0.5458890801078016,0.6231312056700935
H L Richards High Sch(Campus),2021,0.7967067793961019,0.5492514836824691,0.6148661607598671
H L Richards High Sch(Campus),2022,0.7965876587239,0.5284115178179017,0.6101835313650843
H L Richards High Sch(Campus),2023,0.7939227726308796,0.5118302351061063,0.6030007625551171
H L Richards High Sch(Campus),2024,0.7885703578630185,0.5226036612987716,0.5984771053748413
H L Richards High Sch(Campus),2025,0.7828371078077657,0.5053128806800504,0.5947474157648664
H L Richards High Sch(Campus)    ,2016,0.7582594210265702,0.575559100801645,0.6026948148460517
H L Richards High Sch(Campus)    ,2017,0.7865127144466507,0.6084814665314048,0.6303904112872264
Hancock College Preparatory HS,2018,0.7864616524779631,0.5877897656269258,0.6230274556540557
Hancock College Preparatory HS,2019,0.7839074603594075,0.5542569409271805,0.6247704774800023
Hancock College Preparatory HS,2020,0.7873785595622814,0.5458890801078016,0.6231312056700935
Hancock College Preparatory HS,2021,0.7967067793961019,0.5492514836824691,0.6148661607598671
Hancock College Preparatory HS,2022,0.7965876587239,0.5284115178179017,0.6101835313650843
Hancock College Preparatory HS,2023,0.7939227726308796,0.5118302351061063,0.6030007625551171
Hancock College Preparatory HS,2024,0.7885703578630185,0.5226036612987716,0.5984771053748413
Hancock College Preparatory HS,2025,0.7828371078077657,0.5053128806800504,0.5947474157648664
Hancock College Preparatory HS   ,2016,0.7582594210265702,0.575559100801645,0.6026948148460517
Hancock College Preparatory HS   ,2017,0.7865127144466507,0.6084814665314048,0.6303904112872264
Harlan Community Academy HS,2018,0.7864616524779631,0.5877897656269258,0.6230274556540557
Harlan Community Academy HS,2019,0.7839074603594075,0.5542569409271805,0.6247704774800023
Harlan Community Academy HS,2020,0.7873785595622814,0.5458890801078016,0.6231312056700935
Harlan Community Academy HS,2021,0.7967067793961019,0.5492514836824691,0.6148661607598671
Harlan Community Academy HS,2022,0.7965876587239,0.5284115178179017,0.6101835313650843
Harlan Community Academy HS,2023,0.7939227726308796,0.5118302351061063,0.6030007625551171
Harlan Community Academy HS,2024,0.7885703578630185,0.5226036612987716,0.5984771053748413
Harlan Community Academy HS,2025,0.7828371078077657,0.5053128806800504,0.5947474157648664
Harlan Community Academy HS      ,2016,0.7582594210265702,0.575559100801645,0.6026948148460517
Harlan Community Academy HS      ,2017,0.7865127144466507,0.6084814665314048,0.6303904112872264
Hillcrest High School,2018,0.7864616524779631,0.5877897656269258,0.6230274556540557
Hillcrest High School,2019,0.7839074603594075,0.5542569409271805,0.6247704774800023
Hillcrest High School,2020,0.7873785595622814,0.5458890801078016,0.6231312056700935
Hillcrest High School,2021,0.7967067793961019,0.5492514836824691,0.6148661607598671
Hillcrest High School,2022,0.7965876587239,0.5284115178179017,0.6101835313650843
Hillcrest High School,2023,0.7939227726308796,0.5118302351061063,0.6030007625551171
Hillcrest High School,2024,0.7885703578630185,0.5226036612987716,0.5984771053748413
Hillcrest High School,2025,0.7828371078077657,0.5053128806800504,0.5947474157648664
Hillcrest High School            ,2016,0.7582594210265702,0.575559100801645,0.6026948148460517
Hillcrest High School            ,2017,0.7865127144466507,0.6084814665314048,0.6303904112872264
Hirsch Metropolitan High Schoo,2021,0.7967067793961019,0.5492514836824691,0.6148661607598671
Hirsch Metropolitan High School,2018,0.7864616524779631,0.5877897656269258,0.6230274556540557
Hirsch Metropolitan High School,2019,0.7839074603594075,0.5542569409271805,0.6247704774800023
Hirsch Metropolitan High School,2020,0.7873785595622814,0.5458890801078016,0.6231312056700935
Hirsch Metropolitan High School,2022,0.7965876587239,0.5284115178179017,0.6101835313650843
Hirsch Metropolitan High School,2023,0.7939227726308796,0.5118302351061063,0.6030007625551171
Hirsch Metropolitan High School,2024,0.7885703578630185,0.5226036612987716,0.5984771053748413
Hirsch Metropolitan High School,2025,0.7828371078077657,0.5053128806800504,0.5947474157648664
Hirsch Metropolitan High School  ,2016,0.7582594210265702,0.575559100801645,0.6026948148460517
Hirsch Metropolitan High School  ,2017,0.7865127144466507,0.6084814665314048,0.6303904112872264
Hoffman Estates High School,2018,0.7864616524779631,0.5877897656269258,0.6230274556540557
Hoffman Estates High School,2019,0.7839074603594075,0.5542569409271805,0.6247704774800023
Hoffman Estates High School,2020,0.7873785595622814,0.5458890801078016,0.6231312056700935
Hoffman Estates High School,2021,0.7967067793961019,0.5492514836824691,0.6148661607598671
Hoffman Estates High School,2022,0.7965876587239,0.5284115178179017,0.6101835313650843
Hoffman Estates High School,2023,0.7939227726308796,0.5118302351061063,0.6030007625551171
Hoffman Estates High School,2024,0.7885703578630185,0.5226036612987716,0.5984771053748413
Hoffman Estates High School,2025,0.7828371078077657,0.5053128806800504,0.5947474157648664
