school_id,year,TRACTID,LAT,LON,x_tract_median_hh_income,x_tract_total_n_hh,x_tract_pov_share_under_1_00,x_tract_urban,x_tract_lilatracts_1and10,x_tract_lilatracts_halfand10,x_tract_lilatracts_1and20,x_tract_lilatracts_vehicle,x_tract_lowincometracts,x_tract_la1and10,x_tract_lahalfand10,x_tract_la1and20,x_tract_transport_length,x_tract_pop20
05-016-2140-17-0007,2023,17031805105,42.064959,-88.015964,82800.0,1511.0,0.099933819,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,7278
05-016-2140-17-0007,2024,17031805105,42.064959,-88.015964,84474.0,1649.0,0.099454215,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,7278
05-016-2140-17-0007,2025,17031805105,42.064959,-88.015964,,,,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,7278
05-016-2140-17-0008,2018,17031803013,42.1404,-87.983666,78125.0,1439.0,0.041000695,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5490
05-016-2140-17-0008,2019,17031803013,42.1404,-87.983666,90098.0,1439.0,0.0271021542738012,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5490
05-016-2140-17-0008,2020,17031803013,42.1404,-87.983666,91094.0,1573.0,0.0292434837889383,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5490
05-016-2140-17-0008,2021,17031803013,42.1404,-87.983666,93938.0,1590.0,0.0213836477987421,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5490
05-016-2140-17-0008,2022,17031803013,42.1404,-87.983666,105841.0,1587.0,0.004410838,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5490
05-016-2140-17-0008,2023,17031803013,42.1404,-87.983666,106226.0,1497.0,0.012692050768203,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5490
05-016-2140-17-0008,2024,17031803013,42.1404,-87.983666,104564.0,1478.0,0.026387009,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5490
05-016-2140-17-0008,2025,17031803013,42.1404,-87.983666,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5490
05-016-2190-17-0002,2018,17031806900,42.059848,-87.75405,75186.0,1270.0,0.066929134,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,68694.24758099468,5342
05-016-2190-17-0002,2019,17031806900,42.059848,-87.75405,71915.0,1191.0,0.0369437447523089,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,68694.24758099468,5342
05-016-2190-17-0002,2020,17031806900,42.059848,-87.75405,72337.0,1261.0,0.057890563,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,68694.24758099468,5342
05-016-2190-17-0002,2021,17031806900,42.059848,-87.75405,71406.0,1310.0,0.077099237,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,68694.24758099468,5342
05-016-2190-17-0002,2022,17031806900,42.059848,-87.75405,84438.0,1317.0,0.050113895,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,68694.24758099468,5342
05-016-2190-17-0002,2023,17031806900,42.059848,-87.75405,74036.0,1226.0,0.079119086,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,68694.24758099468,5342
05-016-2190-17-0002,2024,17031806900,42.059848,-87.75405,79674.0,1359.0,0.073583517,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,68694.24758099468,5342
05-016-2190-17-0002,2025,17031806900,42.059848,-87.75405,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,68694.24758099468,5342
05-016-2190-17-0003,2018,17031807800,42.025082,-87.77136,104875.0,675.0,0.0222222222222222,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2878
05-016-2190-17-0003,2019,17031807800,42.025082,-87.77136,106473.0,644.0,0.0170807453416149,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2878
05-016-2190-17-0003,2020,17031807800,42.025082,-87.77136,121103.0,647.0,0.049459042,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2878
